State,Year,Value
Gujarat,1994-95,9498
Haryana,1994-95,6912
Jharkhand,1994-95,–
Karnataka,1994-95,8859
Kerala,1994-95,5959
Madhya Pradesh,1994-95,9315
Maharashtra,1994-95,20026
Orissa,1994-95,4982
Punjab,1994-95,7505
Rajasthan,1994-95,8421
Tamil Nadu,1994-95,11432
Uttar Pradesh,1994-95,21062
West Bengal,1994-95,9283
Arunachal Pradesh,1994-95,691
Assam,1994-95,3998
Himachal Pradesh,1994-95,2009
Jammu and Kashmir,1994-95,3339
Manipur,1994-95,675
Meghalaya,1994-95,587
Mizoram,1994-95,592
Nagaland,1994-95,906
Sikkim,1994-95,601
Tripura,1994-95,880
Uttarakhand,1994-95,–
NCT Delhi,1994-95,2407
Puducherry,1994-95,–
Andhra Pradesh,1995-96,14301
Bihar,1995-96,9417
Chhattisgarh,1995-96,–
Goa,1995-96,943
Gujarat,1995-96,10811
Haryana,1995-96,6131
Jharkhand,1995-96,–
Karnataka,1995-96,10406
Kerala,1995-96,6922
Madhya Pradesh,1995-96,10582
Maharashtra,1995-96,21377
Orissa,1995-96,5563
Punjab,1995-96,7004
Rajasthan,1995-96,10907
Tamil Nadu,1995-96,12532
Uttar Pradesh,1995-96,20787
West Bengal,1995-96,10509
Arunachal Pradesh,1995-96,803
Assam,1995-96,4390
Himachal Pradesh,1995-96,2350
Jammu and Kashmir,1995-96,3573
Manipur,1995-96,811
Meghalaya,1995-96,779
Mizoram,1995-96,715
Nagaland,1995-96,1040
Sikkim,1995-96,993
Tripura,1995-96,990
Uttarakhand,1995-96,–
NCT Delhi,1995-96,2952
Puducherry,1995-96,–
Andhra Pradesh,1996-97,16265
Bihar,1996-97,9407
Chhattisgarh,1996-97,–
Goa,1996-97,946
Gujarat,1996-97,12576
Haryana,1996-97,7831
Jharkhand,1996-97,–
Karnataka,1996-97,11981
Kerala,1996-97,7943
Madhya Pradesh,1996-97,13093
Maharashtra,1996-97,25005
Orissa,1996-97,6310
Punjab,1996-97,7547
