State,Year,Value
NCT Delhi,2002-03,-2068
Puducherry,2002-03,–
Andhra Pradesh,2003-04,2962
Bihar,2003-04,1107
Chhattisgarh,2003-04,641
Goa,2003-04,140
Gujarat,2003-04,3707
Haryana,2003-04,274
Jharkhand,2003-04,-142
Karnataka,2003-04,525
Kerala,2003-04,3680
Madhya Pradesh,2003-04,4476
Maharashtra,2003-04,8310
Orissa,2003-04,1421
Punjab,2003-04,3563
Rajasthan,2003-04,3424
Tamil Nadu,2003-04,1565
Uttar Pradesh,2003-04,18583
West Bengal,2003-04,9149
Arunachal Pradesh,2003-04,-184
Assam,2003-04,685
Himachal Pradesh,2003-04,1607
Jammu and Kashmir,2003-04,-1910
Manipur,2003-04,44
Meghalaya,2003-04,-85
Mizoram,2003-04,-83
Nagaland,2003-04,-547
Sikkim,2003-04,-160
Tripura,2003-04,-106
Uttarakhand,2003-04,761
NCT Delhi,2003-04,-2261
Puducherry,2003-04,–
Andhra Pradesh,2004-05,2558
Bihar,2004-05,-1076
Chhattisgarh,2004-05,-146
Goa,2004-05,123
Gujarat,2004-05,4037
Haryana,2004-05,258
Jharkhand,2004-05,1111
Karnataka,2004-05,-1638
Kerala,2004-05,3669
Madhya Pradesh,2004-05,-1717
Maharashtra,2004-05,10033
Orissa,2004-05,522
Punjab,2004-05,3391
Rajasthan,2004-05,2143
Tamil Nadu,2004-05,703
Uttar Pradesh,2004-05,6993
West Bengal,2004-05,8228
Arunachal Pradesh,2004-05,8
Assam,2004-05,292
Himachal Pradesh,2004-05,1158
Jammu and Kashmir,2004-05,-1577
Manipur,2004-05,-92
Meghalaya,2004-05,50
Mizoram,2004-05,-107
Nagaland,2004-05,-155
Sikkim,2004-05,-169
Tripura,2004-05,-394
Uttarakhand,2004-05,950
NCT Delhi,2004-05,-2735
Puducherry,2004-05,–
Andhra Pradesh,2005-06,64
Bihar,2005-06,-81
Chhattisgarh,2005-06,-1381
Goa,2005-06,22
Gujarat,2005-06,399
Haryana,2005-06,-1213
Jharkhand,2005-06,1553
Karnataka,2005-06,-2311
Kerala,2005-06,3129
Madhya Pradesh,2005-06,-33
Maharashtra,2005-06,3842
Orissa,2005-06,-481
Punjab,2005-06,1242
Rajasthan,2005-06,660
Tamil Nadu,2005-06,-1951
Uttar Pradesh,2005-06,1268
West Bengal,2005-06,7391
Arunachal Pradesh,2005-06,-182
Assam,2005-06,-1509
Himachal Pradesh,2005-06,-92
Jammu and Kashmir,2005-06,-1816
Manipur,2005-06,-404
Meghalaya,2005-06,-72
Mizoram,2005-06,-66
Nagaland,2005-06,-207
Sikkim,2005-06,-197
Tripura,2005-06,-633
Uttarakhand,2005-06,74
NCT Delhi,2005-06,-4328
Puducherry,2005-06,-7
Andhra Pradesh,2006-07,-2807
Bihar,2006-07,-2498
Chhattisgarh,2006-07,-2647
Goa,2006-07,-141
Gujarat,2006-07,-1770
Haryana,2006-07,-1590
Jharkhand,2006-07,1090
Karnataka,2006-07,-4152
Kerala,2006-07,2638
Madhya Pradesh,2006-07,-3332
Maharashtra,2006-07,-810
Orissa,2006-07,-2261
Punjab,2006-07,1749
Rajasthan,2006-07,-638
Tamil Nadu,2006-07,-2648
Uttar Pradesh,2006-07,-4901
West Bengal,2006-07,8333
Arunachal Pradesh,2006-07,-695
Assam,2006-07,-2210
Himachal Pradesh,2006-07,-191
Jammu and Kashmir,2006-07,-1914
Manipur,2006-07,-448
Meghalaya,2006-07,-235
Mizoram,2006-07,-252
Nagaland,2006-07,-550
Sikkim,2006-07,-229
Tripura,2006-07,-851
Uttarakhand,2006-07,-896
NCT Delhi,2006-07,-4438
Puducherry,2006-07,43
Andhra Pradesh,2007-08,-159
Bihar,2007-08,-4645
Chhattisgarh,2007-08,-3039
Goa,2007-08,-166
Gujarat,2007-08,-2150
Haryana,2007-08,-2224
Jharkhand,2007-08,1484
Karnataka,2007-08,-3776
Kerala,2007-08,3785
Madhya Pradesh,2007-08,-5088
Maharashtra,2007-08,-14803
Orissa,2007-08,-4244
Punjab,2007-08,3823
Rajasthan,2007-08,-1653
Tamil Nadu,2007-08,-4545
Uttar Pradesh,2007-08,-3449
West Bengal,2007-08,8147
Arunachal Pradesh,2007-08,-743
Assam,2007-08,-2581
Himachal Pradesh,2007-08,-850
Jammu and Kashmir,2007-08,-2216
Manipur,2007-08,-1216
Meghalaya,2007-08,-188
Mizoram,2007-08,-131
Nagaland,2007-08,-424
Sikkim,2007-08,-351
Tripura,2007-08,-904
Uttarakhand,2007-08,-637
NCT Delhi,2007-08,-5142
Puducherry,2007-08,65
Andhra Pradesh,2008-09(RE),-2067
Bihar,2008-09(RE),-3435
Chhattisgarh,2008-09(RE),-1049
Goa,2008-09(RE),-83
