State,Year,Value
Andhra Pradesh,1993-94,8018
Bihar,1993-94,7319
Chhattisgarh,1993-94,–
Goa,1993-94,431
Gujarat,1993-94,6934
Haryana,1993-94,3401
Jharkhand,1993-94,–
Karnataka,1993-94,6208
Kerala,1993-94,4293
Madhya Pradesh,1993-94,7518
Maharashtra,1993-94,13109
Orissa,1993-94,3482
Punjab,1993-94,4044
Rajasthan,1993-94,5898
Tamil Nadu,1993-94,8758
Uttar Pradesh,1993-94,13280
West Bengal,1993-94,6906
Arunachal Pradesh,1993-94,399
Assam,1993-94,2901
Himachal Pradesh,1993-94,1352
Jammu and Kashmir,1993-94,1768
Manipur,1993-94,438
Meghalaya,1993-94,483
Mizoram,1993-94,419
Nagaland,1993-94,680
Sikkim,1993-94,189
Tripura,1993-94,643
Uttarakhand,1993-94,–
NCT Delhi,1993-94,508
Puducherry,1993-94,–
Andhra Pradesh,1994-95,9514
Bihar,1994-95,7731
Chhattisgarh,1994-95,–
Goa,1994-95,477
Gujarat,1994-95,7544
Haryana,1994-95,6273
Jharkhand,1994-95,–
Karnataka,1994-95,7265
Kerala,1994-95,5066
Madhya Pradesh,1994-95,7809
Maharashtra,1994-95,14812
Orissa,1994-95,4036
Punjab,1994-95,6043
Rajasthan,1994-95,6747
Tamil Nadu,1994-95,9635
Uttar Pradesh,1994-95,15396
West Bengal,1994-95,7631
Arunachal Pradesh,1994-95,439
Assam,1994-95,3271
Himachal Pradesh,1994-95,1614
Jammu and Kashmir,1994-95,2324
Manipur,1994-95,508
Meghalaya,1994-95,457
Mizoram,1994-95,464
Nagaland,1994-95,722
Sikkim,1994-95,526
Tripura,1994-95,706
Uttarakhand,1994-95,–
NCT Delhi,1994-95,1431
Puducherry,1994-95,–
Andhra Pradesh,1995-96,10614
Bihar,1995-96,8456
Chhattisgarh,1995-96,–
Goa,1995-96,785
Gujarat,1995-96,8766
Haryana,1995-96,5362
Jharkhand,1995-96,–
Karnataka,1995-96,8481
Kerala,1995-96,5826
Madhya Pradesh,1995-96,9131
Maharashtra,1995-96,17168
Orissa,1995-96,4698
Punjab,1995-96,5635
Rajasthan,1995-96,8332
Tamil Nadu,1995-96,10911
Uttar Pradesh,1995-96,17556
West Bengal,1995-96,8626
Arunachal Pradesh,1995-96,507
Assam,1995-96,3576
Himachal Pradesh,1995-96,1904
Jammu and Kashmir,1995-96,2516
Manipur,1995-96,619
Meghalaya,1995-96,580
Mizoram,1995-96,565
Nagaland,1995-96,845
Sikkim,1995-96,881
Tripura,1995-96,787
Uttarakhand,1995-96,–
NCT Delhi,1995-96,1877
Puducherry,1995-96,–
Andhra Pradesh,1996-97,14392
Bihar,1996-97,8254
Chhattisgarh,1996-97,–
Goa,1996-97,789
Gujarat,1996-97,10259
Haryana,1996-97,6767
Jharkhand,1996-97,–
Karnataka,1996-97,10201
Kerala,1996-97,6788
Madhya Pradesh,1996-97,11462
Maharashtra,1996-97,20846
Orissa,1996-97,5117
Punjab,1996-97,6926
Rajasthan,1996-97,8426
Tamil Nadu,1996-97,13065
Uttar Pradesh,1996-97,19208
West Bengal,1996-97,10362
Arunachal Pradesh,1996-97,602
Assam,1996-97,3571
Himachal Pradesh,1996-97,2147
Jammu and Kashmir,1996-97,2899
Manipur,1996-97,708
Meghalaya,1996-97,617
Mizoram,1996-97,621
Nagaland,1996-97,865
Sikkim,1996-97,1119
Tripura,1996-97,907
Uttarakhand,1996-97,–
NCT Delhi,1996-97,2032
Puducherry,1996-97,–
Andhra Pradesh,1997-98,14544
Bihar,1997-98,8957
Chhattisgarh,1997-98,–
Goa,1997-98,1122
Gujarat,1997-98,12143
Haryana,1997-98,6617
Jharkhand,1997-98,–
Karnataka,1997-98,10890
Kerala,1997-98,8241
Madhya Pradesh,1997-98,11726
Maharashtra,1997-98,22897
Orissa,1997-98,5537
Punjab,1997-98,7835
Rajasthan,1997-98,8986
Tamil Nadu,1997-98,14951
Uttar Pradesh,1997-98,22195
West Bengal,1997-98,11322
Arunachal Pradesh,1997-98,665
Assam,1997-98,4039
Himachal Pradesh,1997-98,2699
Jammu and Kashmir,1997-98,3480
Manipur,1997-98,798
Meghalaya,1997-98,685
Mizoram,1997-98,662
Nagaland,1997-98,1004
Sikkim,1997-98,1258
Tripura,1997-98,1060
