State,Year,Value
Andhra Pradesh,1990-91,2647
Bihar,1990-91,1142
Chhattisgarh,1990-91,–
Goa,1990-91,85
Gujarat,1990-91,2400
Haryana,1990-91,1070
Jharkhand,1990-91,–
Karnataka,1990-91,2332
Kerala,1990-91,1340
Madhya Pradesh,1990-91,1755
Maharashtra,1990-91,5120
Orissa,1990-91,669
Punjab,1990-91,1291
Rajasthan,1990-91,1217
Tamil Nadu,1990-91,3124
Uttar Pradesh,1990-91,3162
West Bengal,1990-91,2134
Arunachal Pradesh,1990-91,3
Assam,1990-91,420
Himachal Pradesh,1990-91,161
Jammu and Kashmir,1990-91,163
Manipur,1990-91,17
Meghalaya,1990-91,36
Mizoram,1990-91,3
Nagaland,1990-91,18
Sikkim,1990-91,11
Tripura,1990-91,26
Uttarakhand,1990-91,–
NCT Delhi,1990-91,–
Puducherry,1990-91,–
Andhra Pradesh,1991-92,3055
Bihar,1991-92,1310
Chhattisgarh,1991-92,–
Goa,1991-92,114
Gujarat,1991-92,2893
Haryana,1991-92,1300
Jharkhand,1991-92,–
Karnataka,1991-92,2900
Kerala,1991-92,1674
Madhya Pradesh,1991-92,2117
Maharashtra,1991-92,5954
Orissa,1991-92,674
Punjab,1991-92,1543
Rajasthan,1991-92,1549
Tamil Nadu,1991-92,3734
Uttar Pradesh,1991-92,3497
West Bengal,1991-92,2450
Arunachal Pradesh,1991-92,4
Assam,1991-92,512
Himachal Pradesh,1991-92,193
Jammu and Kashmir,1991-92,165
Manipur,1991-92,14
Meghalaya,1991-92,43
Mizoram,1991-92,3
Nagaland,1991-92,18
Sikkim,1991-92,11
Tripura,1991-92,29
Uttarakhand,1991-92,–
NCT Delhi,1991-92,–
Puducherry,1991-92,–
Andhra Pradesh,1992-93,3389
Bihar,1992-93,1564
Chhattisgarh,1992-93,–
Goa,1992-93,144
Gujarat,1992-93,3457
Haryana,1992-93,1447
Jharkhand,1992-93,–
Karnataka,1992-93,3098
Kerala,1992-93,1887
Madhya Pradesh,1992-93,2334
Maharashtra,1992-93,6561
Orissa,1992-93,762
Punjab,1992-93,1759
Rajasthan,1992-93,1734
Tamil Nadu,1992-93,4162
Uttar Pradesh,1992-93,3886
West Bengal,1992-93,2609
Arunachal Pradesh,1992-93,4
Assam,1992-93,518
Himachal Pradesh,1992-93,222
Jammu and Kashmir,1992-93,207
Manipur,1992-93,15
Meghalaya,1992-93,44
Mizoram,1992-93,5
Nagaland,1992-93,17
Sikkim,1992-93,12
Tripura,1992-93,34
Uttarakhand,1992-93,–
NCT Delhi,1992-93,–
Puducherry,1992-93,–
Andhra Pradesh,1993-94,3833
Bihar,1993-94,1748
Chhattisgarh,1993-94,–
Goa,1993-94,188
Gujarat,1993-94,3942
Haryana,1993-94,1589
Jharkhand,1993-94,–
Karnataka,1993-94,3812
Kerala,1993-94,2345
Madhya Pradesh,1993-94,2677
Maharashtra,1993-94,7696
Orissa,1993-94,860
Punjab,1993-94,2150
Rajasthan,1993-94,1950
Tamil Nadu,1993-94,4801
Uttar Pradesh,1993-94,4132
West Bengal,1993-94,2913
Arunachal Pradesh,1993-94,4
Assam,1993-94,613
Himachal Pradesh,1993-94,256
Jammu and Kashmir,1993-94,225
Manipur,1993-94,19
Meghalaya,1993-94,48
Mizoram,1993-94,5
Nagaland,1993-94,18
Sikkim,1993-94,14
Tripura,1993-94,37
Uttarakhand,1993-94,–
NCT Delhi,1993-94,550
Puducherry,1993-94,–
Andhra Pradesh,1994-95,4227
Bihar,1994-95,1836
Chhattisgarh,1994-95,–
Goa,1994-95,226
Gujarat,1994-95,4743
Haryana,1994-95,1888
Jharkhand,1994-95,–
Karnataka,1994-95,4289
Kerala,1994-95,2799
Madhya Pradesh,1994-95,2871
Maharashtra,1994-95,9455
Orissa,1994-95,923
Punjab,1994-95,2599
Rajasthan,1994-95,2307
Tamil Nadu,1994-95,5834
Uttar Pradesh,1994-95,4878
West Bengal,1994-95,3730
Arunachal Pradesh,1994-95,6
Assam,1994-95,632
Himachal Pradesh,1994-95,299
Jammu and Kashmir,1994-95,244
Manipur,1994-95,24
Meghalaya,1994-95,56
Mizoram,1994-95,5
Nagaland,1994-95,19
Sikkim,1994-95,14
Tripura,1994-95,44
Uttarakhand,1994-95,–
NCT Delhi,1994-95,1787
Puducherry,1994-95,–
Andhra Pradesh,1995-96,4120
Bihar,1995-96,1973
Chhattisgarh,1995-96,–
Goa,1995-96,272
Gujarat,1995-96,5323
Haryana,1995-96,2169
Jharkhand,1995-96,–
Karnataka,1995-96,5274
Kerala,1995-96,3383
Madhya Pradesh,1995-96,3518
Maharashtra,1995-96,10934
Orissa,1995-96,1127
Punjab,1995-96,2651
Rajasthan,1995-96,2731
Tamil Nadu,1995-96,7151
Uttar Pradesh,1995-96,5469
West Bengal,1995-96,4133
Arunachal Pradesh,1995-96,8
Assam,1995-96,702
Himachal Pradesh,1995-96,342
Jammu and Kashmir,1995-96,285
Manipur,1995-96,28
Meghalaya,1995-96,66
Mizoram,1995-96,6
Nagaland,1995-96,21
Sikkim,1995-96,21
Tripura,1995-96,48
Uttarakhand,1995-96,–
NCT Delhi,1995-96,2111
Puducherry,1995-96,–
Andhra Pradesh,1996-97,4882
Bihar,1996-97,2251
Chhattisgarh,1996-97,–
Goa,1996-97,303
Gujarat,1996-97,6066
Haryana,1996-97,2143
Jharkhand,1996-97,–
Karnataka,1996-97,5768
Kerala,1996-97,3899
Madhya Pradesh,1996-97,4104
Maharashtra,1996-97,11715
Orissa,1996-97,1342
Punjab,1996-97,2735
Rajasthan,1996-97,3124
Tamil Nadu,1996-97,7984
Uttar Pradesh,1996-97,6306
West Bengal,1996-97,4259
Arunachal Pradesh,1996-97,9
Assam,1996-97,767
Himachal Pradesh,1996-97,412
Jammu and Kashmir,1996-97,289
Manipur,1996-97,14
Meghalaya,1996-97,77
Mizoram,1996-97,7
Nagaland,1996-97,31
Sikkim,1996-97,22
Tripura,1996-97,60
Uttarakhand,1996-97,–
NCT Delhi,1996-97,2535
Puducherry,1996-97,–
Andhra Pradesh,1997-98,7114
Bihar,1997-98,2390
Chhattisgarh,1997-98,–
Goa,1997-98,365
Gujarat,1997-98,6591
Haryana,1997-98,2369
Jharkhand,1997-98,–
Karnataka,1997-98,6412
Kerala,1997-98,4501
Madhya Pradesh,1997-98,4564
Maharashtra,1997-98,13719
Orissa,1997-98,1422
Punjab,1997-98,3045
Rajasthan,1997-98,3611
Tamil Nadu,1997-98,8686
Uttar Pradesh,1997-98,6998
West Bengal,1997-98,4517
Arunachal Pradesh,1997-98,10
Assam,1997-98,882
Himachal Pradesh,1997-98,476
Jammu and Kashmir,1997-98,367
Manipur,1997-98,36
Meghalaya,1997-98,74
Mizoram,1997-98,8
Nagaland,1997-98,34
Sikkim,1997-98,27
Tripura,1997-98,72
Uttarakhand,1997-98,–
NCT Delhi,1997-98,2942
Puducherry,1997-98,–
Andhra Pradesh,1998-99,7961
Bihar,1998-99,2672
Chhattisgarh,1998-99,–
Goa,1998-99,357
Gujarat,1998-99,7616
Haryana,1998-99,3120
Jharkhand,1998-99,–
Karnataka,1998-99,6943
Kerala,1998-99,4650
Madhya Pradesh,1998-99,5109
Maharashtra,1998-99,14202
Orissa,1998-99,1487
Punjab,1998-99,3262
Rajasthan,1998-99,3939
Tamil Nadu,1998-99,9625
Uttar Pradesh,1998-99,7910
West Bengal,1998-99,4775
Arunachal Pradesh,1998-99,11
Assam,1998-99,983
Himachal Pradesh,1998-99,572
Jammu and Kashmir,1998-99,437
Manipur,1998-99,31
Meghalaya,1998-99,88
Mizoram,1998-99,9
Nagaland,1998-99,35
Sikkim,1998-99,29
Tripura,1998-99,84
Uttarakhand,1998-99,–
NCT Delhi,1998-99,3089
Puducherry,1998-99,–
Andhra Pradesh,1999-00,9009
Bihar,1999-00,3638
Chhattisgarh,1999-00,–
Goa,1999-00,459
Gujarat,1999-00,8162
Haryana,1999-00,3518
Jharkhand,1999-00,–
Karnataka,1999-00,7744
Kerala,1999-00,5194
Madhya Pradesh,1999-00,5795
Maharashtra,1999-00,17265
Orissa,1999-00,1704
Punjab,1999-00,3948
Rajasthan,1999-00,4531
Tamil Nadu,1999-00,10919
Uttar Pradesh,1999-00,9401
West Bengal,1999-00,5101
Arunachal Pradesh,1999-00,14
Assam,1999-00,1225
Himachal Pradesh,1999-00,620
Jammu and Kashmir,1999-00,578
Manipur,1999-00,40
Meghalaya,1999-00,103
Mizoram,1999-00,11
Nagaland,1999-00,43
Sikkim,1999-00,31
Tripura,1999-00,102
Uttarakhand,1999-00,–
NCT Delhi,1999-00,3430
Puducherry,1999-00,–
Andhra Pradesh,2000-01,10552
Bihar,2000-01,2935
Chhattisgarh,2000-01,750
Goa,2000-01,515
Gujarat,2000-01,9047
Haryana,2000-01,4312
Jharkhand,2000-01,–
Karnataka,2000-01,9043
Kerala,2000-01,5870
Madhya Pradesh,2000-01,5640
Maharashtra,2000-01,19724
Orissa,2000-01,2184
Punjab,2000-01,4895
Rajasthan,2000-01,5300
Tamil Nadu,2000-01,12282
Uttar Pradesh,2000-01,10980
West Bengal,2000-01,5918
Arunachal Pradesh,2000-01,21
Assam,2000-01,1413
Himachal Pradesh,2000-01,728
Jammu and Kashmir,2000-01,748
Manipur,2000-01,49
Meghalaya,2000-01,119
Mizoram,2000-01,14
Nagaland,2000-01,56
Sikkim,2000-01,66
Tripura,2000-01,126
Uttarakhand,2000-01,295
NCT Delhi,2000-01,4401
Puducherry,2000-01,–
Andhra Pradesh,2001-02,12564
Bihar,2001-02,2442
Chhattisgarh,2001-02,1993
Goa,2001-02,569
Gujarat,2001-02,9247
Haryana,2001-02,4972
Jharkhand,2001-02,2076
Karnataka,2001-02,9853
Kerala,2001-02,5923
Madhya Pradesh,2001-02,4702
Maharashtra,2001-02,21288
Orissa,2001-02,2467
Punjab,2001-02,4820
Rajasthan,2001-02,5671
Tamil Nadu,2001-02,13010
Uttar Pradesh,2001-02,10330
West Bengal,2001-02,6505
Arunachal Pradesh,2001-02,34
Assam,2001-02,1566
Himachal Pradesh,2001-02,916
Jammu and Kashmir,2001-02,858
Manipur,2001-02,52
Meghalaya,2001-02,136
Mizoram,2001-02,19
Nagaland,2001-02,52
Sikkim,2001-02,80
Tripura,2001-02,159
Uttarakhand,2001-02,895
NCT Delhi,2001-02,4897
Puducherry,2001-02,–
Andhra Pradesh,2002-03,12618
Bihar,2002-03,2765
Chhattisgarh,2002-03,2327
Goa,2002-03,602
Gujarat,2002-03,9520
Haryana,2002-03,5550
Jharkhand,2002-03,2278
Karnataka,2002-03,10440
Kerala,2002-03,7303
Madhya Pradesh,2002-03,6170
Maharashtra,2002-03,22811
Orissa,2002-03,2872
Punjab,2002-03,5711
Rajasthan,2002-03,6253
Tamil Nadu,2002-03,14342
Uttar Pradesh,2002-03,12767
West Bengal,2002-03,7046
Arunachal Pradesh,2002-03,37
Assam,2002-03,1935
Himachal Pradesh,2002-03,888
Jammu and Kashmir,2002-03,976
Manipur,2002-03,65
Meghalaya,2002-03,145
Mizoram,2002-03,28
Nagaland,2002-03,62
Sikkim,2002-03,106
Tripura,2002-03,183
Uttarakhand,2002-03,1022
NCT Delhi,2002-03,5324
Puducherry,2002-03,–
Andhra Pradesh,2003-04,13806
Bihar,2003-04,3361
Chhattisgarh,2003-04,2588
Goa,2003-04,710
Gujarat,2003-04,11173
Haryana,2003-04,6348
Jharkhand,2003-04,2278
Karnataka,2003-04,12570
Kerala,2003-04,8089
Madhya Pradesh,2003-04,6789
Maharashtra,2003-04,25162
Orissa,2003-04,3302
Punjab,2003-04,6146
Rajasthan,2003-04,7246
Tamil Nadu,2003-04,15945
Uttar Pradesh,2003-04,13601
West Bengal,2003-04,8768
Arunachal Pradesh,2003-04,43
Assam,2003-04,2070
Himachal Pradesh,2003-04,984
Jammu and Kashmir,2003-04,1152
Manipur,2003-04,69
Meghalaya,2003-04,178
Mizoram,2003-04,34
Nagaland,2003-04,69
Sikkim,2003-04,108
Tripura,2003-04,221
Uttarakhand,2003-04,1226
NCT Delhi,2003-04,5884
Puducherry,2003-04,–
Andhra Pradesh,2004-05,16254
Bihar,2004-05,3342
Chhattisgarh,2004-05,3228
Goa,2004-05,857
Gujarat,2004-05,12958
Haryana,2004-05,7440
Jharkhand,2004-05,2402
Karnataka,2004-05,16072
Kerala,2004-05,8964
