State,Year,Value
Arunachal Pradesh,1990-91,128
Assam,1990-91,932
Himachal Pradesh,1990-91,444
Jammu and Kashmir,1990-91,600
Manipur,1990-91,151
Meghalaya,1990-91,160
Mizoram,1990-91,153
Nagaland,1990-91,182
Sikkim,1990-91,61
Tripura,1990-91,264
Uttarakhand,1990-91,–
NCT Delhi,1990-91,–
Puducherry,1990-91,–
Andhra Pradesh,1991-92,3121
Bihar,1991-92,3073
Chhattisgarh,1991-92,–
Goa,1991-92,181
Gujarat,1991-92,2344
Haryana,1991-92,781
Jharkhand,1991-92,–
Karnataka,1991-92,2299
Kerala,1991-92,1594
Madhya Pradesh,1991-92,2664
Maharashtra,1991-92,4601
Orissa,1991-92,1310
Punjab,1991-92,1099
Rajasthan,1991-92,2036
Tamil Nadu,1991-92,3433
Uttar Pradesh,1991-92,4443
West Bengal,1991-92,2716
Arunachal Pradesh,1991-92,137
Assam,1991-92,1113
Himachal Pradesh,1991-92,495
Jammu and Kashmir,1991-92,732
Manipur,1991-92,185
Meghalaya,1991-92,189
Mizoram,1991-92,173
Nagaland,1991-92,179
Sikkim,1991-92,73
Tripura,1991-92,286
Uttarakhand,1991-92,–
NCT Delhi,1991-92,–
Puducherry,1991-92,–
Andhra Pradesh,1992-93,3662
Bihar,1992-93,3143
Chhattisgarh,1992-93,–
Goa,1992-93,192
Gujarat,1992-93,2456
Haryana,1992-93,955
Jharkhand,1992-93,–
Karnataka,1992-93,2557
Kerala,1992-93,1791
Madhya Pradesh,1992-93,3020
Maharashtra,1992-93,5561
Orissa,1992-93,1492
Punjab,1992-93,1058
Rajasthan,1992-93,2393
Tamil Nadu,1992-93,3929
Uttar Pradesh,1992-93,5573
West Bengal,1992-93,2747
Arunachal Pradesh,1992-93,172
Assam,1992-93,1138
Himachal Pradesh,1992-93,581
Jammu and Kashmir,1992-93,887
Manipur,1992-93,196
Meghalaya,1992-93,198
Mizoram,1992-93,200
Nagaland,1992-93,224
Sikkim,1992-93,81
Tripura,1992-93,261
Uttarakhand,1992-93,–
NCT Delhi,1992-93,–
Puducherry,1992-93,–
Andhra Pradesh,1993-94,3919
Bihar,1993-94,3434
Chhattisgarh,1993-94,–
Goa,1993-94,216
Gujarat,1993-94,2844
Haryana,1993-94,1093
Jharkhand,1993-94,–
Karnataka,1993-94,3063
Kerala,1993-94,2061
Madhya Pradesh,1993-94,3508
Maharashtra,1993-94,6204
Orissa,1993-94,1747
Punjab,1993-94,1335
Rajasthan,1993-94,2783
Tamil Nadu,1993-94,4251
Uttar Pradesh,1993-94,5212
West Bengal,1993-94,3323
Arunachal Pradesh,1993-94,198
Assam,1993-94,1397
Himachal Pradesh,1993-94,621
Jammu and Kashmir,1993-94,901
Manipur,1993-94,210
Meghalaya,1993-94,238
Mizoram,1993-94,212
Nagaland,1993-94,269
Sikkim,1993-94,90
Tripura,1993-94,324
Uttarakhand,1993-94,–
NCT Delhi,1993-94,386
Puducherry,1993-94,–
Andhra Pradesh,1994-95,4265
Bihar,1994-95,3524
Chhattisgarh,1994-95,–
Goa,1994-95,223
Gujarat,1994-95,3273
Haryana,1994-95,1304
Jharkhand,1994-95,–
Karnataka,1994-95,3449
Kerala,1994-95,2387
Madhya Pradesh,1994-95,3854
Maharashtra,1994-95,6723
Orissa,1994-95,1864
Punjab,1994-95,1565
Rajasthan,1994-95,3291
Tamil Nadu,1994-95,4550
Uttar Pradesh,1994-95,6031
