Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31
,TABLE 4: AGGREGATE RECEIPTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Rs. crore)
,States,1980-81,1981-82,1982-83,1983-84,1984-85,1985-86,1986-87,1987-88,1988-89,1989-90,1990-91,1991-92,1992-93,1993-94,1994-95,1995-96,1996-97,1997-98,1998-99,1999-00,2000-01,2001-02,2002-03,2003-04,2004-05,2005-06,2006-07,2007-08,2008-09(RE),2009-10(BE)
,II. Special Category,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
,1.Arunachal Pradesh,–,–,–,–,–,–,244,306,340,357,419,449,485,509,666,814,891,916,1029,1052,1177,1235,1452,1902,1792,2581,2848,3682,4405,3877
,2.Assam,709,568,665,914,1052,1262,1524,1777,1877,2168,2748,2730,3173,3482,5317,4580,4235,4986,5268,6585,7509,7962,9622,10905,14434,13670,15160,16409,26615,26567
,3.Himachal Pradesh,334,260,342,374,466,638,632,820,886,919,1169,2276,1338,1837,1693,1794,2718,3317,3080,6239,5395,5267,6732,8143,8337,8909,9844,12057,12685,12917
,4.Jammu and Kashmir,421,542,503,617,694,918,990,1223,1404,1611,1746,1864,2281,2470,3339,3573,3928,4400,5771,7229,7338,7750,8200,8853,11163,13467,13875,17046,18785,22314
,5.Manipur,152,134,67,169,222,285,287,316,408,380,481,507,818,740,646,767,1096,1024,1055,1622,1244,2002,2428,2134,2931,3038,3554,4186,4572,4373
,6.Meghalaya,93,85,112,133,170,203,229,269,339,346,408,461,493,661,597,783,857,860,1081,1206,1458,1289,1673,1654,2015,2208,2464,2900,4137,4328
,7.Mizoram,–,–,–,–,–,164,73,215,269,409,512,398,483,520,597,689,746,908,827,1261,1131,1278,1460,1954,1877,2180,2215,2792,3206,3700
,8.Nagaland,174,101,148,184,219,308,354,404,447,474,519,586,729,937,800,955,1017,1129,1431,1539,1686,1924,2238,1990,2248,2707,3158,3574,4142,4754
,9.Sikkim,41,38,49,71,78,105,120,133,171,181,193,206,261,252,605,986,1216,1377,1635,1703,958,1951,2193,1456,2245,2083,2290,3067,3405,3432
,10.Tripura,137,99,144,178,229,278,306,371,460,600,624,634,722,775,889,1041,1156,1265,1561,1900,2085,2305,2498,2666,3327,3459,3687,3553,4394,5311
,11.Uttarakhand,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,1390,4279,5201,6004,6316,7982,8494,9673,10793,14014
