State,Year,Value
Gujarat,1998-99,5619.0
Haryana,1998-99,2240.0
Jharkhand,1998-99,3723.4444444444443
Karnataka,1998-99,3112.0
Kerala,1998-99,3012.0
Madhya Pradesh,1998-99,4127.0
Maharashtra,1998-99,7462.0
Orissa,1998-99,2916.0
Punjab,1998-99,3779.0
Rajasthan,1998-99,5151.0
Tamil Nadu,1998-99,4777.0
Uttar Pradesh,1998-99,11633.0
West Bengal,1998-99,7109.0
Arunachal Pradesh,1998-99,55.0
Assam,1998-99,338.0
Himachal Pradesh,1998-99,1662.0
Jammu and Kashmir,1998-99,1054.0
Manipur,1998-99,106.0
Meghalaya,1998-99,147.0
Mizoram,1998-99,132.0
Nagaland,1998-99,243.0
Sikkim,1998-99,147.0
Tripura,1998-99,118.0
Uttarakhand,1998-99,1316.1
NCT Delhi,1998-99,959.0
Puducherry,1998-99,605.0
Andhra Pradesh,1999-00,4976.0
Bihar,1999-00,6108.0
Chhattisgarh,1999-00,1076.2
Goa,1999-00,341.0
Gujarat,1999-00,6792.0
Haryana,1999-00,2133.0
Jharkhand,1999-00,3723.4444444444443
Karnataka,1999-00,4277.0
Kerala,1999-00,4537.0
Madhya Pradesh,1999-00,3911.0
Maharashtra,1999-00,11706.0
Orissa,1999-00,3746.0
Punjab,1999-00,3195.0
Rajasthan,1999-00,5361.0
Tamil Nadu,1999-00,5382.0
Uttar Pradesh,1999-00,11099.0
West Bengal,1999-00,11666.0
Arunachal Pradesh,1999-00,59.0
Assam,1999-00,1606.0
Himachal Pradesh,1999-00,190.0
Jammu and Kashmir,1999-00,1339.0
Manipur,1999-00,656.0
Meghalaya,1999-00,209.0
Mizoram,1999-00,179.0
Nagaland,1999-00,249.0
Sikkim,1999-00,93.0
Tripura,1999-00,290.0
Uttarakhand,1999-00,1316.1
NCT Delhi,1999-00,1382.0
Puducherry,1999-00,605.0
Andhra Pradesh,2000-01,7306.0
Bihar,2000-01,4884.0
Chhattisgarh,2000-01,-48.0
Goa,2000-01,413.0
Gujarat,2000-01,7988.0
Haryana,2000-01,2265.0
Jharkhand,2000-01,3723.4444444444443
Karnataka,2000-01,4219.0
Kerala,2000-01,3878.0
Madhya Pradesh,2000-01,2712.0
Maharashtra,2000-01,8976.0
Orissa,2000-01,3325.0
Punjab,2000-01,3904.0
Rajasthan,2000-01,4313.0
Tamil Nadu,2000-01,5076.0
Uttar Pradesh,2000-01,10180.0
West Bengal,2000-01,10920.0
Arunachal Pradesh,2000-01,210.0
Assam,2000-01,1540.0
Himachal Pradesh,2000-01,1845.0
Jammu and Kashmir,2000-01,2166.0
Manipur,2000-01,234.0
Meghalaya,2000-01,250.0
Mizoram,2000-01,375.0
Nagaland,2000-01,359.0
Sikkim,2000-01,51.0
Tripura,2000-01,445.0
Uttarakhand,2000-01,136.0
NCT Delhi,2000-01,1610.0
Puducherry,2000-01,605.0
Andhra Pradesh,2001-02,6723.0
Bihar,2001-02,4010.0
Chhattisgarh,2001-02,1061.0
Goa,2001-02,413.0
Gujarat,2001-02,6511.0
Haryana,2001-02,2740.0
Jharkhand,2001-02,1643.0
Karnataka,2001-02,5870.0
Kerala,2001-02,3269.0
Madhya Pradesh,2001-02,3649.0
Maharashtra,2001-02,10898.0
Orissa,2001-02,3964.0
Punjab,2001-02,4958.0
Rajasthan,2001-02,5748.0
Tamil Nadu,2001-02,4739.0
Uttar Pradesh,2001-02,9898.0
West Bengal,2001-02,11804.0
Arunachal Pradesh,2001-02,275.0
Assam,2001-02,1448.0
Himachal Pradesh,2001-02,1511.0
Jammu and Kashmir,2001-02,748.0
Manipur,2001-02,340.0
Meghalaya,2001-02,221.0
Mizoram,2001-02,422.0
Nagaland,2001-02,366.0
Sikkim,2001-02,67.0
Tripura,2001-02,538.0
Uttarakhand,2001-02,424.0
NCT Delhi,2001-02,1733.0
