Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31
,TABLE 1: GROSS FISCAL DEFICIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Rs. crore)
,States,1980-81,1981-82,1982-83,1983-84,1984-85,1985-86,1986-87,1987-88,1988-89,1989-90,1990-91,1991-92,1992-93,1993-94,1994-95,1995-96,1996-97,1997-98,1998-99,1999-00,2000-01,2001-02,2002-03,2003-04,2004-05,2005-06,2006-07,2007-08,2008-09(RE),2009-10(BE)
,7.Jharkhand,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,1643,2187,1658,3648,4918,5257,6217,3751,4232
,8.Karnataka,226,118,280,288,563,550,514,518,497,625,559,918,1386,1254,1513,1457,1944,1610,3112,4277,4219,5870,5281,4501,3600,3687,4688,5331,9357,8493
,9.Kerala,180,62,123,299,232,323,440,448,412,604,799,803,732,935,1109,1303,1543,2414,3012,4537,3878,3269,4994,5539,4452,4182,3822,6100,6315,5681
,10.Madhya Pradesh,337,238,291,366,494,516,561,725,871,723,1019,984,876,983,1417,1633,1926,1821,4127,3911,2712,3649,4062,7323,6492,4572,2754,2784,5372,6436
,11.Maharashtra,463,489,552,740,1051,1234,1065,1014,1277,1844,1611,1657,2586,2265,2861,4151,4954,6442,7462,11706,8976,10898,14290,17929,18620,17630,11553,-2821,16220,26562
,12.Orissa,134,142,212,192,328,326,372,506,550,574,616,913,740,902,1159,1396,1602,1803,2916,3746,3325,3964,2816,3573,1366,276,-823,-1323,2561,6004
,13.Punjab,160,178,183,262,479,566,343,968,833,909,1242,1151,1252,1493,1785,1365,1465,2478,3779,3195,3904,4958,4401,4880,4036,2656,4384,4604,6856,9660
,14.Rajasthan,207,327,275,298,363,343,467,903,736,581,545,792,1159,1470,1763,2574,2507,2552,5151,5361,4313,5748,6114,7372,6146,5150,3970,3408,6549,8420
,15.Tamil Nadu,210,213,326,364,398,365,454,660,654,919,1126,1300,1749,1358,1496,1256,2445,2122,4777,5382,5076,4739,6742,5591,5570,2251,3956,3686,9248,11823
,16.Uttar Pradesh,551,452,582,1082,1494,1058,1410,1014,1802,2482,3068,2837,3711,3166,4767,4381,5956,7576,11633,11099,10180,9898,9497,16648,12998,10078,9615,13794,20557,23299
,17.West Bengal,289,380,498,414,340,259,587,551,579,1055,1634,1144,1013,1672,1965,2696,3397,4008,7109,11666,10920,11804,10569,12870,10653,9601,11431,11400,12694,22984
,II. Special Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1.Arunachal Pradesh,–,–,–,–,–,–,23,38,1,75,26,-20,-9,16,73,40,70,121,55,59,210,275,214,250,386,256,-106,-16,1015,1118
,2.Assam,-27,172,200,327,367,154,243,421,303,528,568,255,208,-18,711,652,74,142,338,1606,1540,1448,928,1394,2057,-356,-711,-790,2177,10864
,3.Himachal Pradesh,-35,57,74,58,80,35,89,129,254,226,279,224,312,152,620,521,572,1202,1662,190,1845,1511,2342,2384,1810,720,921,552,1864,1592
,4.Jammu and Kashmir,145,136,142,198,248,247,244,417,410,524,661,449,204,88,-23,97,166,444,1054,1339,2166,748,1245,-17,1008,1588,1461,2609,2325,2205
,5.Manipur,-7,27,17,26,15,-9,32,17,33,71,40,69,18,-20,62,105,168,188,106,656,234,340,249,286,449,271,475,-102,473,407
,6.Meghalaya,-8,17,15,10,2,-8,5,2,10,31,41,72,93,88,35,52,23,127,147,209,250,221,161,202,313,179,75,214,125,614
,7.Mizoram,–,–,–,–,–,41,-22,102,11,-3,-94,5,60,8,38,71,125,124,132,179,375,422,315,306,234,397,191,392,372,212
,8.Nagaland,-26,20,30,41,-5,-12,30,60,48,141,102,96,138,174,239,231,184,204,243,249,359,366,443,-157,218,306,156,397,721,591
,9.Sikkim,6,5,-2,7,-3,12,1,9,11,30,20,41,34,31,46,40,56,67,147,93,51,67,10,50,186,149,97,64,345,457
,10.Tripura,-9,25,17,35,12,15,15,62,84,89,86,94,23,111,110,34,122,196,118,290,445,538,537,341,240,110,-131,17,756,1277
,11.Uttarakhand,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,136,424,889,1407,2171,1878,886,1742,1557,2071
,All States,3712,4063,4986,6359,8200,7520,9269,11221,11672,15434,18787,18900,20891,20364,27308,30870,36561,43474,73295,90099,87923,94260,99726,120631,107774,90084,77508,75455,146349,199510
,Memo item:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1.NCT Delhi,–,–,–,–,–,–,–,–,–,–,–,–,–,232,389,556,690,726,959,1382,1610,1733,2396,2439,1483,-245,410,2041,4235,2890
,2.Puducherry,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,279,399,331,1115,901
,Minus sign (-) indicates surplus in deficit indicator.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Also see 'Notes on Tables'.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
